DATA QUALITY REPORT
============================================================
Total rows: 2214
Date range: 2018-01-01 00:00:00 to 2026-06-25 00:00:00

Column                               Missing        %
omip_q4_19_vol_40d                      1767    79.8%
omip_q4_20                              1812    81.8%
omip_q4_20_lag_10d                      1812    81.8%
omip_q4_20_lag_15d                      1812    81.8%
omip_q4_20_lag_1d                       1812    81.8%
omip_q4_20_lag_20d                      1812    81.8%
omip_q4_20_lag_25d                      1812    81.8%
omip_q4_20_lag_2d                       1812    81.8%
omip_q4_20_lag_30d                      1812    81.8%
omip_q4_20_lag_3d                       1812    81.8%
omip_q4_20_lag_5d                       1812    81.8%
omip_q4_20_lag_65d                      1812    81.8%
omip_q4_20_momentum_20d                 1879    84.9%
omip_q4_20_momentum_65d                 1907    86.1%
omip_q4_20_vol_20d                      1761    79.5%
omip_q4_20_vol_40d                      1762    79.6%
omip_q4_21                              1810    81.8%
omip_q4_21_lag_10d                      1810    81.8%
omip_q4_21_lag_15d                      1810    81.8%
omip_q4_21_lag_1d                       1810    81.8%
omip_q4_21_lag_20d                      1810    81.8%
omip_q4_21_lag_25d                      1810    81.8%
omip_q4_21_lag_2d                       1810    81.8%
omip_q4_21_lag_30d                      1810    81.8%
omip_q4_21_lag_3d                       1810    81.8%
omip_q4_21_lag_5d                       1810    81.8%
omip_q4_21_lag_65d                      1810    81.8%
omip_q4_21_momentum_20d                 1874    84.6%
omip_q4_21_momentum_65d                 1908    86.2%
omip_q4_21_vol_20d                      1759    79.4%
omip_q4_21_vol_40d                      1760    79.5%
omip_q4_22                              1786    80.7%
omip_q4_22_lag_10d                      1786    80.7%
omip_q4_22_lag_15d                      1786    80.7%
omip_q4_22_lag_1d                       1786    80.7%
omip_q4_22_lag_20d                      1786    80.7%
omip_q4_22_lag_25d                      1786    80.7%
omip_q4_22_lag_2d                       1786    80.7%
omip_q4_22_lag_30d                      1786    80.7%
omip_q4_22_lag_3d                       1786    80.7%
omip_q4_22_lag_5d                       1786    80.7%
omip_q4_22_lag_65d                      1786    80.7%
omip_q4_22_momentum_20d                 1828    82.6%
omip_q4_22_momentum_65d                 1860    84.0%
omip_q4_22_vol_20d                      1761    79.5%
omip_q4_22_vol_40d                      1761    79.5%
omip_q4_23                              1767    79.8%
omip_q4_23_lag_10d                      1767    79.8%
omip_q4_23_lag_15d                      1767    79.8%
omip_q4_23_lag_1d                       1767    79.8%
omip_q4_23_lag_20d                      1767    79.8%
omip_q4_23_lag_25d                      1767    79.8%
omip_q4_23_lag_2d                       1767    79.8%
omip_q4_23_lag_30d                      1767    79.8%
omip_q4_23_lag_3d                       1767    79.8%
omip_q4_23_lag_5d                       1767    79.8%
omip_q4_23_lag_65d                      1767    79.8%
omip_q4_23_momentum_20d                 1794    81.0%
omip_q4_23_momentum_65d                 1839    83.1%
omip_q4_23_vol_20d                      1759    79.4%
omip_q4_23_vol_40d                      1759    79.4%
omip_q4_24                              1768    79.9%
omip_q4_24_lag_10d                      1768    79.9%
omip_q4_24_lag_15d                      1768    79.9%
omip_q4_24_lag_1d                       1768    79.9%
omip_q4_24_lag_20d                      1768    79.9%
omip_q4_24_lag_25d                      1768    79.9%
omip_q4_24_lag_2d                       1768    79.9%
omip_q4_24_lag_30d                      1768    79.9%
omip_q4_24_lag_3d                       1768    79.9%
omip_q4_24_lag_5d                       1768    79.9%
omip_q4_24_lag_65d                      1768    79.9%
omip_q4_24_momentum_20d                 1797    81.2%
omip_q4_24_momentum_65d                 1841    83.2%
omip_q4_24_vol_20d                      1758    79.4%
omip_q4_24_vol_40d                      1758    79.4%
omip_q4_25                              1775    80.2%
omip_q4_25_lag_10d                      1775    80.2%
omip_q4_25_lag_15d                      1775    80.2%
omip_q4_25_lag_1d                       1775    80.2%
omip_q4_25_lag_20d                      1775    80.2%
omip_q4_25_lag_25d                      1775    80.2%
omip_q4_25_lag_2d                       1775    80.2%
omip_q4_25_lag_30d                      1775    80.2%
omip_q4_25_lag_3d                       1775    80.2%
omip_q4_25_lag_5d                       1775    80.2%
omip_q4_25_lag_65d                      1775    80.2%
omip_q4_25_momentum_20d                 1809    81.7%
omip_q4_25_momentum_65d                 1853    83.7%
omip_q4_25_vol_20d                      1759    79.4%
omip_q4_25_vol_40d                      1759    79.4%
omip_q4_26                              1843    83.2%
omip_q4_26_lag_10d                      1852    83.6%
omip_q4_26_lag_15d                      1857    83.9%
omip_q4_26_lag_1d                       1843    83.2%
omip_q4_26_lag_20d                      1862    84.1%
omip_q4_26_lag_25d                      1867    84.3%
omip_q4_26_lag_2d                       1844    83.3%
omip_q4_26_lag_30d                      1872    84.6%
omip_q4_26_lag_3d                       1845    83.3%
omip_q4_26_lag_5d                       1847    83.4%
omip_q4_26_lag_65d                      1904    86.0%
omip_q4_26_momentum_20d                 1871    84.5%
omip_q4_26_momentum_65d                 1914    86.4%
omip_q4_26_vol_20d                      1842    83.2%
omip_q4_26_vol_40d                      1852    83.6%
omip_q4_27                              2093    94.5%
omip_q4_27_lag_10d                      2102    94.9%
omip_q4_27_lag_15d                      2107    95.2%
omip_q4_27_lag_1d                       2093    94.5%
omip_q4_27_lag_20d                      2112    95.4%
omip_q4_27_lag_25d                      2117    95.6%
omip_q4_27_lag_2d                       2094    94.6%
omip_q4_27_lag_30d                      2122    95.8%
omip_q4_27_lag_3d                       2095    94.6%
omip_q4_27_lag_5d                       2097    94.7%
omip_q4_27_lag_65d                      2154    97.3%
omip_q4_27_momentum_20d                 2115    95.5%
omip_q4_27_momentum_65d                 2158    97.5%
omip_q4_27_vol_20d                      2098    94.8%
omip_q4_27_vol_40d                      2108    95.2%
omip_yr1                                 605    27.3%
omip_yr2                                 717    32.4%
omip_yr_19                              1994    90.1%
omip_yr_19_lag_10d                      1994    90.1%
omip_yr_19_lag_15d                      1994    90.1%
omip_yr_19_lag_1d                       1994    90.1%
omip_yr_19_lag_20d                      1994    90.1%
omip_yr_19_lag_25d                      1994    90.1%
omip_yr_19_lag_2d                       1994    90.1%
omip_yr_19_lag_30d                      1994    90.1%
omip_yr_19_lag_3d                       1994    90.1%
omip_yr_19_lag_5d                       1994    90.1%
omip_yr_19_lag_65d                      1994    90.1%
omip_yr_19_momentum_20d                 2043    92.3%
omip_yr_19_momentum_65d                 2065    93.3%
omip_yr_19_vol_20d                      1961    88.6%
omip_yr_19_vol_40d                      1962    88.6%
omip_yr_20                              1769    79.9%
omip_yr_20_lag_10d                      1769    79.9%
omip_yr_20_lag_15d                      1769    79.9%
omip_yr_20_lag_1d                       1769    79.9%
omip_yr_20_lag_20d                      1769    79.9%
omip_yr_20_lag_25d                      1769    79.9%
omip_yr_20_lag_2d                       1769    79.9%
omip_yr_20_lag_30d                      1769    79.9%
omip_yr_20_lag_3d                       1769    79.9%
omip_yr_20_lag_5d                       1769    79.9%
omip_yr_20_lag_65d                      1769    79.9%
omip_yr_20_momentum_20d                 1844    83.3%
omip_yr_20_momentum_65d                 1861    84.1%
omip_yr_20_vol_20d                      1708    77.1%
omip_yr_20_vol_40d                      1711    77.3%
omip_yr_21                              1534    69.3%
omip_yr_21_lag_10d                      1534    69.3%
omip_yr_21_lag_15d                      1534    69.3%
omip_yr_21_lag_1d                       1534    69.3%
omip_yr_21_lag_20d                      1534    69.3%
omip_yr_21_lag_25d                      1534    69.3%
omip_yr_21_lag_2d                       1534    69.3%
omip_yr_21_lag_30d                      1534    69.3%
omip_yr_21_lag_3d                       1534    69.3%
omip_yr_21_lag_5d                       1534    69.3%
omip_yr_21_lag_65d                      1534    69.3%
omip_yr_21_momentum_20d                 1638    74.0%
omip_yr_21_momentum_65d                 1653    74.7%
omip_yr_21_vol_20d                      1438    65.0%
omip_yr_21_vol_40d                      1443    65.2%
omip_yr_22                              1297    58.6%
omip_yr_22_lag_10d                      1297    58.6%
omip_yr_22_lag_15d                      1297    58.6%
omip_yr_22_lag_1d                       1297    58.6%
omip_yr_22_lag_20d                      1297    58.6%
omip_yr_22_lag_25d                      1297    58.6%
omip_yr_22_lag_2d                       1297    58.6%
omip_yr_22_lag_30d                      1297    58.6%
omip_yr_22_lag_3d                       1297    58.6%
omip_yr_22_lag_5d                       1297    58.6%
omip_yr_22_lag_65d                      1297    58.6%
omip_yr_22_momentum_20d                 1427    64.5%
omip_yr_22_momentum_65d                 1441    65.1%
omip_yr_22_vol_20d                      1175    53.1%
omip_yr_22_vol_40d                      1176    53.1%
omip_yr_23                              1187    53.6%
omip_yr_23_lag_10d                      1187    53.6%
omip_yr_23_lag_15d                      1187    53.6%
omip_yr_23_lag_1d                       1187    53.6%
omip_yr_23_lag_20d                      1187    53.6%
omip_yr_23_lag_25d                      1187    53.6%
omip_yr_23_lag_2d                       1187    53.6%
omip_yr_23_lag_30d                      1187    53.6%
omip_yr_23_lag_3d                       1187    53.6%
omip_yr_23_lag_5d                       1187    53.6%
omip_yr_23_lag_65d                      1187    53.6%
omip_yr_23_momentum_20d                 1294    58.4%
omip_yr_23_momentum_65d                 1322    59.7%
omip_yr_23_vol_20d                      1091    49.3%
omip_yr_23_vol_40d                      1093    49.4%
omip_yr_24                              1005    45.4%
omip_yr_24_lag_10d                      1005    45.4%
omip_yr_24_lag_15d                      1005    45.4%
omip_yr_24_lag_1d                       1005    45.4%
omip_yr_24_lag_20d                      1005    45.4%
omip_yr_24_lag_25d                      1005    45.4%
omip_yr_24_lag_2d                       1005    45.4%
omip_yr_24_lag_30d                      1005    45.4%
omip_yr_24_lag_3d                       1005    45.4%
omip_yr_24_lag_5d                       1005    45.4%
omip_yr_24_lag_65d                      1005    45.4%
omip_yr_24_momentum_20d                 1107    50.0%
omip_yr_24_momentum_65d                 1135    51.3%
omip_yr_24_vol_20d                       915    41.3%
omip_yr_24_vol_40d                       916    41.4%
omip_yr_25                               754    34.1%
omip_yr_25_lag_10d                       754    34.1%
omip_yr_25_lag_15d                       754    34.1%
omip_yr_25_lag_1d                        754    34.1%
omip_yr_25_lag_20d                       754    34.1%
omip_yr_25_lag_25d                       754    34.1%
omip_yr_25_lag_2d                        754    34.1%
omip_yr_25_lag_30d                       754    34.1%
omip_yr_25_lag_3d                        754    34.1%
omip_yr_25_lag_5d                        754    34.1%
omip_yr_25_lag_65d                       754    34.1%
omip_yr_25_momentum_20d                  861    38.9%
omip_yr_25_momentum_65d                  889    40.2%
omip_yr_25_vol_20d                       657    29.7%
omip_yr_25_vol_40d                       659    29.8%
omip_yr_26                               504    22.8%
omip_yr_26_lag_10d                       504    22.8%
omip_yr_26_lag_15d                       504    22.8%
omip_yr_26_lag_1d                        504    22.8%
omip_yr_26_lag_20d                       504    22.8%
omip_yr_26_lag_25d                       504    22.8%
omip_yr_26_lag_2d                        504    22.8%
omip_yr_26_lag_30d                       504    22.8%
omip_yr_26_lag_3d                        504    22.8%
omip_yr_26_lag_5d                        504    22.8%
omip_yr_26_lag_65d                       504    22.8%
omip_yr_26_momentum_20d                  622    28.1%
omip_yr_26_momentum_65d                  651    29.4%
omip_yr_26_vol_20d                       396    17.9%
omip_yr_26_vol_40d                       397    17.9%
omip_yr_27                               605    27.3%
omip_yr_27_lag_10d                       614    27.7%
omip_yr_27_lag_15d                       619    28.0%
omip_yr_27_lag_1d                        605    27.3%
omip_yr_27_lag_20d                       624    28.2%
omip_yr_27_lag_25d                       629    28.4%
omip_yr_27_lag_2d                        606    27.4%
omip_yr_27_lag_30d                       634    28.6%
omip_yr_27_lag_3d                        607    27.4%
omip_yr_27_lag_5d                        609    27.5%
omip_yr_27_lag_65d                       666    30.1%
omip_yr_27_momentum_20d                  698    31.5%
omip_yr_27_momentum_65d                  733    33.1%
omip_yr_27_vol_20d                       532    24.0%
omip_yr_27_vol_40d                       543    24.5%
omip_yr_28                               717    32.4%
omip_yr_28_lag_10d                       726    32.8%
omip_yr_28_lag_15d                       731    33.0%
omip_yr_28_lag_1d                        717    32.4%
omip_yr_28_lag_20d                       736    33.2%
omip_yr_28_lag_25d                       741    33.5%
omip_yr_28_lag_2d                        718    32.4%
omip_yr_28_lag_30d                       746    33.7%
omip_yr_28_lag_3d                        719    32.5%
omip_yr_28_lag_5d                        721    32.6%
omip_yr_28_lag_65d                       778    35.1%
omip_yr_28_momentum_20d                  796    36.0%
omip_yr_28_momentum_65d                  833    37.6%
omip_yr_28_vol_20d                       659    29.8%
omip_yr_28_vol_40d                       669    30.2%
omip_yr_29                               717    32.4%
omip_yr_29_lag_10d                       726    32.8%
omip_yr_29_lag_15d                       731    33.0%
omip_yr_29_lag_1d                        717    32.4%
omip_yr_29_lag_20d                       736    33.2%
omip_yr_29_lag_25d                       741    33.5%
omip_yr_29_lag_2d                        718    32.4%
omip_yr_29_lag_30d                       746    33.7%
omip_yr_29_lag_3d                        719    32.5%
omip_yr_29_lag_5d                        721    32.6%
omip_yr_29_lag_65d                       778    35.1%
omip_yr_29_momentum_20d                  796    36.0%
omip_yr_29_momentum_65d                  833    37.6%
omip_yr_29_vol_20d                       659    29.8%
omip_yr_29_vol_40d                       669    30.2%
omip_yr_30                               717    32.4%
omip_yr_30_lag_10d                       726    32.8%
omip_yr_30_lag_15d                       731    33.0%
omip_yr_30_lag_1d                        717    32.4%
omip_yr_30_lag_20d                       736    33.2%
omip_yr_30_lag_25d                       741    33.5%
omip_yr_30_lag_2d                        718    32.4%
omip_yr_30_lag_30d                       746    33.7%
omip_yr_30_lag_3d                        719    32.5%
omip_yr_30_lag_5d                        721    32.6%
omip_yr_30_lag_65d                       778    35.1%
omip_yr_30_momentum_20d                  796    36.0%
omip_yr_30_momentum_65d                  833    37.6%
omip_yr_30_vol_20d                       659    29.8%
omip_yr_30_vol_40d                       669    30.2%
omip_yr_31                               840    37.9%
omip_yr_31_lag_10d                       849    38.3%
omip_yr_31_lag_15d                       854    38.6%
omip_yr_31_lag_1d                        840    37.9%
omip_yr_31_lag_20d                       859    38.8%
omip_yr_31_lag_25d                       864    39.0%
omip_yr_31_lag_2d                        841    38.0%
omip_yr_31_lag_30d                       869    39.3%
omip_yr_31_lag_3d                        842    38.0%
omip_yr_31_lag_5d                        844    38.1%
omip_yr_31_lag_65d                       901    40.7%
omip_yr_31_momentum_20d                  909    41.1%
omip_yr_31_momentum_65d                  939    42.4%
omip_yr_31_vol_20d                       795    35.9%
omip_yr_31_vol_40d                       805    36.4%
omip_yr_32                              1077    48.6%
omip_yr_32_lag_10d                      1086    49.1%
omip_yr_32_lag_15d                      1091    49.3%
omip_yr_32_lag_1d                       1077    48.6%
omip_yr_32_lag_20d                      1096    49.5%
omip_yr_32_lag_25d                      1101    49.7%
omip_yr_32_lag_2d                       1078    48.7%
omip_yr_32_lag_30d                      1106    50.0%
omip_yr_32_lag_3d                       1079    48.7%
omip_yr_32_lag_5d                       1081    48.8%
omip_yr_32_lag_65d                      1138    51.4%
omip_yr_32_momentum_20d                 1126    50.9%
omip_yr_32_momentum_65d                 1169    52.8%
omip_yr_32_vol_20d                      1054    47.6%
omip_yr_32_vol_40d                      1064    48.1%
omip_yr_33                              1333    60.2%
omip_yr_33_lag_10d                      1342    60.6%
omip_yr_33_lag_15d                      1347    60.8%
omip_yr_33_lag_1d                       1333    60.2%
omip_yr_33_lag_20d                      1352    61.1%
omip_yr_33_lag_25d                      1357    61.3%
omip_yr_33_lag_2d                       1334    60.3%
omip_yr_33_lag_30d                      1362    61.5%
omip_yr_33_lag_3d                       1335    60.3%
omip_yr_33_lag_5d                       1337    60.4%
omip_yr_33_lag_65d                      1394    63.0%
omip_yr_33_momentum_20d                 1378    62.2%
omip_yr_33_momentum_65d                 1421    64.2%
omip_yr_33_vol_20d                      1314    59.3%
omip_yr_33_vol_40d                      1324    59.8%
omip_yr_34                              1588    71.7%
omip_yr_34_lag_10d                      1597    72.1%
omip_yr_34_lag_15d                      1602    72.4%
omip_yr_34_lag_1d                       1588    71.7%
omip_yr_34_lag_20d                      1607    72.6%
omip_yr_34_lag_25d                      1612    72.8%
omip_yr_34_lag_2d                       1589    71.8%
omip_yr_34_lag_30d                      1617    73.0%
omip_yr_34_lag_3d                       1590    71.8%
omip_yr_34_lag_5d                       1592    71.9%
omip_yr_34_lag_65d                      1649    74.5%
omip_yr_34_momentum_20d                 1627    73.5%
omip_yr_34_momentum_65d                 1669    75.4%
omip_yr_34_vol_20d                      1575    71.1%
omip_yr_34_vol_40d                      1585    71.6%
omip_yr_35                              1843    83.2%
omip_yr_35_lag_10d                      1852    83.6%
omip_yr_35_lag_15d                      1857    83.9%
omip_yr_35_lag_1d                       1843    83.2%
omip_yr_35_lag_20d                      1862    84.1%
omip_yr_35_lag_25d                      1867    84.3%
omip_yr_35_lag_2d                       1844    83.3%
omip_yr_35_lag_30d                      1872    84.6%
omip_yr_35_lag_3d                       1845    83.3%
omip_yr_35_lag_5d                       1847    83.4%
omip_yr_35_lag_65d                      1904    86.0%
omip_yr_35_momentum_20d                 1871    84.5%
omip_yr_35_momentum_65d                 1914    86.4%
omip_yr_35_vol_20d                      1842    83.2%
omip_yr_35_vol_40d                      1852    83.6%
omip_yr_36                              2093    94.5%
omip_yr_36_lag_10d                      2102    94.9%
omip_yr_36_lag_15d                      2107    95.2%
omip_yr_36_lag_1d                       2093    94.5%
omip_yr_36_lag_20d                      2112    95.4%
omip_yr_36_lag_25d                      2117    95.6%
omip_yr_36_lag_2d                       2094    94.6%
omip_yr_36_lag_30d                      2122    95.8%
omip_yr_36_lag_3d                       2095    94.6%
omip_yr_36_lag_5d                       2097    94.7%
omip_yr_36_lag_65d                      2154    97.3%
omip_yr_36_momentum_20d                 2115    95.5%
omip_yr_36_momentum_65d                 2158    97.5%
omip_yr_36_vol_20d                      2098    94.8%
omip_yr_36_vol_40d                      2108    95.2%
pumping_pt                                 0     0.0%
quarter                                    0     0.0%
res_generation                             0     0.0%
res_penetration                            0     0.0%
risk_premium                            2093    94.5%
solar_pt                                   0     0.0%
spot_ma_ratio                           1314    59.3%
spot_momentum_20d                       1325    59.8%
spot_momentum_40d                       1345    60.7%
storm_anomaly_flag                         0     0.0%
term_q_spread_1_2                       2042    92.2%
term_q_spread_1_3                       2214   100.0%
term_q_yr_spread                        1994    90.1%
term_yr_spread                          1995    90.1%
thermal_share                              0     0.0%
thermal_total_pt                           0     0.0%
ttf_gas                                    1     0.0%
ttf_vol_20d                               10     0.5%
ttf_vol_65d                               30     1.4%
wind_pt                                    0     0.0%
